loan_amnt,loan_term_year,grade,int_rate,purpose,annual_inc,emp_length,verification_status,home_ownership,addr_state,dti,total_acc,total_pymnt,recoveries,collection_recovery_fee,loan_status,repaid,annual_return
14000,3,B,9.99,debt_consolidation,47000.0,8 years,Not Verified,OWN,FL,17.97,14.0,16021.209893902,0.0,0.0,Fully Paid,1,0.14950060826484024
18825,5,C,13.49,debt_consolidation,30000.0,4 years,Not Verified,RENT,NJ,22.48,22.0,25569.5170890283,0.0,0.0,Fully Paid,1,0.21675650747249509
5000,3,D,15.62,wedding,55000.0,1 year,Source Verified,RENT,IL,8.79,38.0,6294.5349579749,0.0,0.0,Fully Paid,1,0.22042515471901303
4925,3,B,10.99,debt_consolidation,120000.0,< 1 year,Verified,MORTGAGE,CA,19.32,23.0,5695.36,1826.36,0.0,Charged Off,0,0.1271761689910249
8500,5,C,12.99,debt_consolidation,70000.0,2 years,Not Verified,OWN,NJ,16.27,21.0,11531.580008493502,0.0,0.0,Fully Paid,1,0.21001933232682135
8000,3,B,11.49,renewable_energy,21600.0,10+ years,Not Verified,OWN,NJ,16.94,26.0,9493.1551336107,0.0,0.0,Fully Paid,1,0.16800056098061855
16800,5,B,10.99,major_purchase,140000.0,10+ years,Verified,MORTGAGE,CA,13.89,28.0,21867.6299599707,0.0,0.0,Fully Paid,1,0.1834613859508829
12000,5,D,15.99,debt_consolidation,64000.0,< 1 year,Source Verified,RENT,IL,20.23,21.0,7877.52,0.83,0.0,Charged Off,0,-0.2902365440327257
9750,3,B,10.99,debt_consolidation,39800.0,5 years,Source Verified,MORTGAGE,FL,11.73,8.0,10011.6131982092,0.0,0.0,Fully Paid,1,0.06562361629287095
4800,3,B,11.99,other,32640.0,5 years,Source Verified,RENT,CA,8.71,9.0,5715.2408295631,0.0,0.0,Fully Paid,1,0.1742304411060518
10000,3,A,5.42,debt_consolidation,28000.0,10+ years,Not Verified,RENT,IL,12.69,35.0,10857.534385208508,0.0,0.0,Fully Paid,1,0.09485374375199296
32000,5,C,13.99,debt_consolidation,62000.0,10+ years,Source Verified,RENT,NY,18.81,16.0,2413.45,1173.51,11.44,Charged Off,0,-0.9999999999999919
10800,5,G,22.48,debt_consolidation,87000.0,8 years,Verified,OWN,FL,19.09,37.0,7095.17,469.87,4.47,Charged Off,0,-0.3388192390931858
6000,3,A,7.49,credit_card,68000.0,1 year,Not Verified,RENT,CA,16.96,22.0,6583.5707199887,0.0,0.0,Fully Paid,1,0.11929030516416783
14400,3,E,18.79,other,56400.0,7 years,Source Verified,RENT,FL,18.64,33.0,18947.4728112144,0.0,0.0,Fully Paid,1,0.26218862422241185
8000,3,E,18.39,debt_consolidation,80000.0,3 years,Source Verified,RENT,NY,6.22,24.0,9705.8738323435,0.0,0.0,Fully Paid,1,0.21065664415996177
6400,3,A,7.49,debt_consolidation,80000.0,6 years,Not Verified,RENT,TX,7.81,21.0,6866.598054132903,0.0,0.0,Fully Paid,1,0.09731712080473276
16000,5,B,10.99,other,69996.0,10+ years,Verified,RENT,NY,24.1,26.0,20867.92,0.0,0.0,Fully Paid,1,0.18346138595087957
8000,3,B,10.99,debt_consolidation,82000.0,5 years,Source Verified,RENT,NY,11.09,27.0,9427.3344520728,0.0,0.0,Fully Paid,1,0.16180240010704328
9600,3,D,15.62,debt_consolidation,90000.0,1 year,Verified,RENT,CA,17.35,36.0,12085.4165249054,0.0,0.0,Fully Paid,1,0.22042515471900037
6000,3,B,9.99,other,31500.0,10+ years,Not Verified,MORTGAGE,FL,7.5,6.0,6866.310467910799,0.0,0.0,Fully Paid,1,0.14950060826484335
13175,3,B,10.99,home_improvement,290000.0,10+ years,Not Verified,MORTGAGE,FL,9.88,27.0,15131.4419946074,0.0,0.0,Fully Paid,1,0.1618024001070557
13575,5,C,13.99,small_business,180000.0,10+ years,Not Verified,MORTGAGE,TX,15.12,42.0,18713.7799912666,0.0,0.0,Fully Paid,1,0.2235332597448072
12000,5,C,13.49,debt_consolidation,75000.0,2 years,Verified,MORTGAGE,TX,17.86,21.0,16563.288372591698,0.0,0.0,Fully Paid,1,0.21675650747248865
9550,5,G,23.22,debt_consolidation,41000.0,2 years,Source Verified,RENT,NY,8.28,6.0,14888.058240014,0.0,0.0,Fully Paid,1,0.32283758804312757
12000,5,B,11.49,major_purchase,30000.0,3 years,Source Verified,RENT,CA,24.04,12.0,15830.8799804619,0.0,0.0,Fully Paid,1,0.19004275773006873
6000,3,A,5.42,major_purchase,70000.0,6 years,Source Verified,MORTGAGE,CA,15.72,35.0,6514.523205544,0.0,0.0,Fully Paid,1,0.09485374375197542
5400,3,C,13.99,debt_consolidation,60000.0,10+ years,Verified,RENT,NY,4.72,9.0,4407.87,359.87,62.6382000096,Charged Off,0,-0.19485688169564974
25000,5,C,13.99,home_improvement,105000.0,10+ years,Verified,MORTGAGE,CA,10.05,13.0,27074.2938473388,0.0,0.0,Fully Paid,1,0.1902716726424003
7125,3,C,13.99,wedding,37460.0,2 years,Verified,MORTGAGE,TX,23.99,18.0,8376.424752791,0.0,0.0,Fully Paid,1,0.17720939000838665
12000,5,C,13.49,debt_consolidation,85000.0,5 years,Source Verified,RENT,CA,13.67,20.0,15279.5585237275,0.0,0.0,Fully Paid,1,0.18348314615406047
2200,3,A,7.49,small_business,30000.0,4 years,Source Verified,RENT,CA,8.24,13.0,2463.2216125454,0.0,0.0,Fully Paid,1,0.11929030516418271
6000,3,B,11.99,other,110000.0,4 years,Not Verified,MORTGAGE,IL,10.45,29.0,7167.3476733596,0.0,0.0,Fully Paid,1,0.17423044110604247
16000,3,A,6.99,home_improvement,120000.0,5 years,Not Verified,MORTGAGE,IL,13.88,35.0,11773.6372712247,0.0,0.0,Fully Paid,1,0.09138946421449146
14000,5,D,17.49,debt_consolidation,50000.0,5 years,Not Verified,MORTGAGE,FL,21.24,27.0,20804.2300190544,0.0,0.0,Fully Paid,1,0.2721001253434465
3200,3,A,5.99,home_improvement,57000.0,1 year,Not Verified,MORTGAGE,CA,16.76,38.0,1460.1,0.9,0.0,Charged Off,0,-0.6979305439842287
6000,3,B,9.99,home_improvement,66000.0,4 years,Not Verified,RENT,CA,1.24,8.0,6968.6692346429,0.0,0.0,Fully Paid,1,0.14950060826484335
15000,5,D,15.99,wedding,73000.0,< 1 year,Source Verified,RENT,NY,9.32,16.0,21284.0300182237,0.0,0.0,Fully Paid,1,0.24315329252041562
17000,5,C,13.49,small_business,52000.0,1 year,Not Verified,RENT,CA,9.07,16.0,23464.7835897608,0.0,0.0,Fully Paid,1,0.2167565074724822
5000,3,D,15.62,home_improvement,75000.0,10+ years,Verified,OWN,NY,15.9,25.0,6294.534957973101,0.0,0.0,Fully Paid,1,0.22042515471901303
3200,3,A,6.99,wedding,83000.0,3 years,Not Verified,RENT,NY,11.15,32.0,3271.7553814627004,0.0,0.0,Fully Paid,1,0.06825062048283193
5000,3,A,6.99,credit_card,52000.0,1 year,Source Verified,RENT,NJ,9.74,16.0,5557.0255425038,0.0,0.0,Fully Paid,1,0.11334030254155136
4000,3,A,5.99,other,18000.0,3 years,Not Verified,OWN,CA,5.73,11.0,4380.105312965,0.0,0.0,Fully Paid,1,0.10153114032864363
6600,3,D,16.89,debt_consolidation,47838.0,< 1 year,Source Verified,RENT,CA,9.61,11.0,7507.0999385218,0.0,0.0,Fully Paid,1,0.13946542772372195
5750,3,C,12.99,debt_consolidation,85000.0,3 years,Source Verified,RENT,CA,8.95,12.0,6916.897559919102,0.0,0.0,Fully Paid,1,0.18678599139809648
35000,3,C,12.99,small_business,165000.0,6 years,Verified,MORTGAGE,FL,27.27,51.0,42448.3088254791,0.0,0.0,Fully Paid,1,0.18678599139809648
31825,5,E,19.29,other,53000.0,10+ years,Verified,MORTGAGE,IL,15.12,17.0,7897.86,1029.57,10.62,Charged Off,0,-0.9501366410008428
20000,5,C,13.99,home_improvement,85000.0,4 years,Verified,MORTGAGE,CA,7.4,16.0,25679.3748526407,0.0,0.0,Fully Paid,1,0.19027167264238454
1000,3,B,10.59,medical,36000.0,10+ years,Not Verified,RENT,CA,10.5,12.0,716.1,2.64,0.0,Charged Off,0,-0.293703590780628
35000,5,E,17.99,debt_consolidation,115000.0,9 years,Verified,RENT,NY,13.11,36.0,38139.3623333002,0.0,0.0,Fully Paid,1,0.09570265319880655
5000,3,B,11.99,other,40000.0,1 year,Not Verified,RENT,CA,13.83,47.0,5168.7344067357,0.0,0.0,Fully Paid,1,0.07782139061008331
4200,3,C,13.49,debt_consolidation,43000.0,1 year,Not Verified,RENT,CA,24.89,6.0,4822.253351657499,0.0,0.0,Fully Paid,1,0.14739350430379727
12000,3,C,12.99,debt_consolidation,72000.0,10+ years,Source Verified,RENT,NY,17.63,24.0,14553.703680223298,0.0,0.0,Fully Paid,1,0.18678599139809027
2800,3,A,7.49,other,48000.0,4 years,Not Verified,RENT,CA,25.45,20.0,3135.0208474033,0.0,0.0,Fully Paid,1,0.11929030516418271
8000,3,B,11.49,debt_consolidation,61000.0,1 year,Verified,MORTGAGE,IL,20.77,22.0,8902.8935136953,0.0,0.0,Fully Paid,1,0.12247441485503519
8000,3,A,7.49,vacation,105500.0,4 years,Not Verified,RENT,NY,1.32,12.0,8941.906817335,0.0,0.0,Fully Paid,1,0.1192903051641796
8325,5,D,15.99,debt_consolidation,23004.0,6 years,Not Verified,RENT,NY,22.38,8.0,4211.6,366.05,3.35,Charged Off,0,-0.5291211709257407
5000,3,C,13.99,home_improvement,45000.0,10+ years,Source Verified,MORTGAGE,IL,9.92,20.0,4100.88,8.64,0.0,Charged Off,0,-0.16943752332944473
16800,3,C,13.49,other,66000.0,10+ years,Not Verified,RENT,IL,14.53,31.0,18574.55771765472,0.0,0.0,Fully Paid,1,0.12258617774096692
6000,3,B,9.99,other,42000.0,5 years,Source Verified,RENT,NY,6.09,15.0,6848.8426107339,0.0,0.0,Fully Paid,1,0.14950060826484335
5000,3,C,13.49,debt_consolidation,68000.0,1 year,Verified,RENT,FL,12.37,10.0,6107.418586545,0.0,0.0,Fully Paid,1,0.1931119795647045
18400,3,E,19.29,debt_consolidation,61000.0,2 years,Source Verified,MORTGAGE,CA,16.64,19.0,24182.7577866899,0.0,0.0,Fully Paid,1,0.26889997283183087
16800,3,D,15.62,debt_consolidation,72000.0,6 years,Source Verified,MORTGAGE,IL,19.03,10.0,19686.260677148603,0.0,0.0,Fully Paid,1,0.17450256665447772
2400,3,C,14.79,other,99999.0,5 years,Source Verified,RENT,NY,12.48,8.0,1980.2899999999936,63.36,0.5721,Charged Off,0,-0.13344535105266409
6000,3,C,12.99,other,69528.0,8 years,Source Verified,RENT,FL,12.39,20.0,7276.8131616078,0.0,0.0,Fully Paid,1,0.18678599139809027
4800,3,D,15.99,major_purchase,55000.0,6 years,Source Verified,RENT,IL,0.0,6.0,3037.32,11.34,0.0,Charged Off,0,-0.4491154264460223
12900,3,C,12.99,credit_card,180000.0,9 years,Not Verified,MORTGAGE,TX,16.03,49.0,15482.6940146259,0.0,0.0,Fully Paid,1,0.18678599139809027
7400,3,C,13.99,other,49995.0,10+ years,Verified,RENT,NY,20.52,27.0,252.88,0.85,0.0,Charged Off,0,-1.0
1500,3,B,11.49,other,66661.0,10+ years,Source Verified,MORTGAGE,CA,15.9,53.0,1605.3079924518,0.0,0.0,Fully Paid,1,0.0977898129200605
10000,3,A,5.42,credit_card,46877.0,10+ years,Not Verified,RENT,CA,15.87,31.0,10857.5369165848,0.0,0.0,Fully Paid,1,0.09485374375199296
12500,3,B,11.49,other,60000.0,2 years,Not Verified,MORTGAGE,TX,1.36,21.0,14836.9996704483,0.0,0.0,Fully Paid,1,0.16800056098061855
2000,3,B,10.59,debt_consolidation,32000.0,2 years,Not Verified,RENT,NY,24.0,18.0,1325.570000000026,61.66,0.64,Charged Off,0,-0.3518030858384973
12000,5,B,11.99,debt_consolidation,33600.0,2 years,Not Verified,RENT,FL,0.39,6.0,1060.47,529.93,4.94,Charged Off,0,-0.9999999999999931
3000,5,E,20.99,other,36000.0,1 year,Source Verified,RENT,FL,8.87,13.0,4869.1601117309,0.0,0.0,Fully Paid,1,0.3303429334758472
7000,3,A,8.49,debt_consolidation,123000.0,2 years,Not Verified,RENT,CA,10.2,25.0,7938.4022762936,0.0,0.0,Fully Paid,1,0.131281910097919
15000,3,D,16.49,credit_card,91980.0,7 years,Not Verified,MORTGAGE,CA,14.35,29.0,19108.4098932276,0.0,0.0,Fully Paid,1,0.23175302579252244
30000,5,F,21.36,debt_consolidation,182004.0,10+ years,Verified,MORTGAGE,NY,14.38,27.0,11228.36,1604.54,15.88,Charged Off,0,-0.8063201481702729
10625,3,D,16.49,debt_consolidation,30000.0,10+ years,Not Verified,MORTGAGE,FL,19.6,13.0,12646.1715090391,0.0,0.0,Fully Paid,1,0.1857472067299455
5000,3,C,13.99,moving,38000.0,10+ years,Not Verified,RENT,CA,7.77,11.0,6152.9939669398,0.0,0.0,Fully Paid,1,0.22056916440218965
35000,5,B,10.99,debt_consolidation,92500.0,7 years,Source Verified,OWN,NY,6.4,27.0,35320.91,0.0,0.0,Fully Paid,1,0.05461070258361245
6000,3,A,6.99,debt_consolidation,75000.0,1 year,Not Verified,RENT,CA,16.8,20.0,6131.380000000001,0.0,0.0,Fully Paid,1,0.06825062048284591
7000,3,A,7.49,other,53160.0,10+ years,Verified,MORTGAGE,NY,11.69,20.0,7837.5732484225,0.0,0.0,Fully Paid,1,0.1192903051641856
1400,3,A,5.99,home_improvement,40000.0,10+ years,Not Verified,MORTGAGE,FL,20.76,15.0,1533.0185435317,0.0,0.0,Fully Paid,1,0.10153114032863764
5000,3,C,13.99,other,60000.0,2 years,Not Verified,RENT,IL,14.44,23.0,5476.0678251062,0.0,0.0,Fully Paid,1,0.1288659742397742
9000,3,A,5.99,debt_consolidation,55000.0,10+ years,Not Verified,MORTGAGE,FL,16.63,15.0,9675.5994089944,0.0,0.0,Fully Paid,1,0.10153114032864652
6000,3,A,5.42,medical,64000.0,10+ years,Not Verified,MORTGAGE,CA,1.5,15.0,6514.520631675902,0.0,0.0,Fully Paid,1,0.09485374375197542
16000,5,D,16.49,debt_consolidation,65000.0,4 years,Verified,MORTGAGE,FL,17.54,24.0,17933.2785241369,0.0,0.0,Fully Paid,1,0.1166240439154198
15000,5,B,11.99,debt_consolidation,65000.0,2 years,Not Verified,MORTGAGE,FL,20.57,23.0,17736.8709631698,0.0,0.0,Fully Paid,1,0.14485449567080333
12000,5,D,15.99,debt_consolidation,70000.0,5 years,Verified,MORTGAGE,TX,21.82,15.0,17256.899974780503,0.0,0.0,Fully Paid,1,0.25104112473293716
4000,3,C,13.99,home_improvement,64800.0,10+ years,Source Verified,MORTGAGE,IL,10.43,8.0,4940.440141933846,0.0,0.0,Fully Paid,1,0.2205691644021992
7500,3,A,7.49,other,125000.0,< 1 year,Verified,MORTGAGE,NJ,4.18,10.0,8397.405939644,0.0,0.0,Fully Paid,1,0.11929030516417383
2500,3,B,10.99,car,36000.0,2 years,Not Verified,OWN,FL,5.87,15.0,2906.5707470793,0.0,0.0,Fully Paid,1,0.16180240010704638
1750,3,A,7.49,debt_consolidation,87000.0,7 years,Verified,MORTGAGE,CA,10.94,25.0,1933.7534664217,0.0,0.0,Fully Paid,1,0.1192903051641856
30000,5,B,10.99,home_improvement,66984.0,2 years,Source Verified,MORTGAGE,TX,10.5,28.0,38229.8899613149,0.0,0.0,Fully Paid,1,0.1755458311872915
5000,3,B,10.99,debt_consolidation,19200.0,3 years,Not Verified,RENT,FL,4.44,4.0,2009.8,218.78,2.03,Charged Off,0,-0.8271890458450212
6600,3,C,13.49,debt_consolidation,37200.0,< 1 year,Verified,MORTGAGE,CA,15.71,8.0,7953.770989440301,0.0,0.0,Fully Paid,1,0.1931119795647045
35000,3,A,8.49,small_business,77100.0,6 years,Verified,RENT,NY,0.2,13.0,30281.408405706698,0.0,0.0,Fully Paid,1,0.131281910097925
5300,3,B,11.49,debt_consolidation,71000.0,4 years,Not Verified,MORTGAGE,IL,12.91,14.0,6268.820773088,0.0,0.0,Fully Paid,1,0.16800056098061544
15000,3,D,17.49,debt_consolidation,54000.0,10+ years,Not Verified,RENT,NJ,15.89,43.0,16692.26,0.0,0.0,Charged Off,0,0.14723210153281907
10000,3,B,11.99,major_purchase,40000.0,5 years,Not Verified,RENT,FL,10.95,9.0,10247.211876202398,0.0,0.0,Fully Paid,1,0.05020295440943201
5500,5,D,17.49,car,24000.0,2 years,Not Verified,RENT,FL,21.15,7.0,7990.1899915365,0.0,0.0,Fully Paid,1,0.2560641953816114
17000,3,B,11.49,debt_consolidation,95000.0,10+ years,Not Verified,RENT,CA,15.74,30.0,19223.5828268754,0.0,0.0,Fully Paid,1,0.1458498138731832
15000,3,B,10.99,debt_consolidation,87000.0,4 years,Verified,MORTGAGE,TX,20.97,15.0,17676.3483567492,0.0,0.0,Fully Paid,1,0.1618024001070526
6000,3,D,15.62,other,27600.0,5 years,Not Verified,MORTGAGE,TX,19.0,14.0,3566.940000000002,6.97,0.0,Charged Off,0,-0.5128803013409837
20000,5,B,10.99,debt_consolidation,81000.0,10+ years,Verified,MORTGAGE,CA,7.45,33.0,25302.106325760305,0.0,0.0,Fully Paid,1,0.1755458311872915
11000,3,A,7.49,debt_consolidation,38400.0,10+ years,Not Verified,RENT,NY,25.38,12.0,11706.3345854246,0.0,0.0,Fully Paid,1,0.09731712080472987
7000,3,C,13.99,home_improvement,58800.0,10+ years,Not Verified,OWN,NY,22.22,26.0,8072.785869604,0.0,0.0,Fully Paid,1,0.15370387877231995
19000,3,A,7.49,major_purchase,62004.0,5 years,Source Verified,RENT,TX,14.42,27.0,19875.5910634531,0.0,0.0,Fully Paid,1,0.07415181267217519
10800,5,F,21.36,small_business,31200.0,7 years,Source Verified,RENT,NJ,19.81,13.0,3547.260000000068,562.78,5.42,Charged Off,0,-0.8540161367523244
2000,3,B,11.49,other,50000.0,2 years,Not Verified,RENT,CA,4.1,22.0,1060.92,72.2,0.77,Charged Off,0,-0.6079991599845269
5000,3,A,7.49,debt_consolidation,42000.0,2 years,Not Verified,RENT,NJ,11.2,14.0,5384.418960617199,0.0,0.0,Fully Paid,1,0.09731712080473276
15000,3,A,7.49,home_improvement,100000.0,10+ years,Source Verified,MORTGAGE,NY,4.18,26.0,15829.9067933863,0.0,0.0,Fully Paid,1,0.07415181267218074
9425,3,B,11.49,debt_consolidation,72800.0,10+ years,Not Verified,RENT,CA,14.67,28.0,10890.383904675,0.0,0.0,Fully Paid,1,0.16800056098061544
12000,3,A,7.49,debt_consolidation,80000.0,8 years,Verified,OWN,NY,19.52,31.0,13412.8932057522,0.0,0.0,Fully Paid,1,0.11929030516416783
18000,3,B,10.99,credit_card,95000.0,5 years,Not Verified,MORTGAGE,CA,16.61,32.0,19340.7162230449,0.0,0.0,Fully Paid,1,0.091670660963592
5000,3,B,10.99,home_improvement,60000.0,10+ years,Source Verified,MORTGAGE,NJ,6.48,13.0,5893.923604059,0.0,0.0,Fully Paid,1,0.18278946890645842
12000,3,B,10.99,debt_consolidation,60000.0,5 years,Not Verified,RENT,TX,24.26,23.0,14043.6207726366,0.0,0.0,Fully Paid,1,0.16180240010704638
5000,5,C,14.79,debt_consolidation,33000.0,< 1 year,Verified,RENT,CA,14.22,23.0,7030.6700000063,0.0,0.0,Fully Paid,1,0.2344590163481235
31825,5,F,21.36,debt_consolidation,108000.0,10+ years,Verified,MORTGAGE,NJ,20.69,45.0,48841.14018887418,0.0,0.0,Fully Paid,1,0.30371096265064734
5750,5,C,12.99,home_improvement,29120.0,10+ years,Verified,RENT,FL,16.11,11.0,2228.94,282.24,2.44,Charged Off,0,-0.7180483121922545
8800,3,B,9.99,car,55600.0,10+ years,Not Verified,OWN,TX,0.0,26.0,10220.7572277883,0.0,0.0,Fully Paid,1,0.14950060826484024
4800,3,E,17.99,other,58000.0,6 years,Source Verified,RENT,CA,1.66,5.0,2996.349999999998,1407.52,253.5186,Charged Off,0,-0.6177416333727082
8800,3,A,8.49,small_business,48000.0,1 year,Source Verified,RENT,IL,4.15,9.0,9958.937175029298,0.0,0.0,Fully Paid,1,0.131281910097919
16000,5,D,15.99,major_purchase,60000.0,10+ years,Source Verified,OWN,TX,14.12,33.0,12228.19,1544.68,15.4398,Charged Off,0,-0.16183228705237074
11025,3,B,10.59,debt_consolidation,60000.0,1 year,Not Verified,RENT,CA,19.34,22.0,12917.0544944599,0.0,0.0,Fully Paid,1,0.156866603642152
20400,3,B,11.49,major_purchase,72000.0,8 years,Verified,RENT,CA,3.48,19.0,24214.0427915689,0.0,0.0,Fully Paid,1,0.16800056098061855
17725,3,B,11.49,debt_consolidation,38220.0,10+ years,Verified,RENT,IL,13.16,27.0,10519.56,7.38,0.0,Charged Off,0,-0.49191370079231134
19425,5,D,16.89,debt_consolidation,34500.0,10+ years,Verified,RENT,FL,23.03,11.0,28896.557087210495,0.0,0.0,Fully Paid,1,0.2636319498580493
12000,5,B,10.99,home_improvement,115000.0,9 years,Verified,MORTGAGE,CA,9.73,17.0,15650.9392370992,0.0,0.0,Fully Paid,1,0.18346138595088912
12000,5,B,11.49,debt_consolidation,35000.0,10+ years,Not Verified,OWN,TX,17.38,35.0,15830.878896876598,0.0,0.0,Fully Paid,1,0.19004275773006873
12400,5,E,17.99,debt_consolidation,75000.0,10+ years,Verified,RENT,CA,9.63,11.0,18888.3399513505,0.0,0.0,Fully Paid,1,0.27920272351816977
18000,3,B,10.99,debt_consolidation,54000.0,< 1 year,Verified,RENT,CA,22.98,20.0,20281.573040099505,0.0,0.0,Fully Paid,1,0.13967374904490581
35000,5,B,10.99,debt_consolidation,90000.0,5 years,Verified,MORTGAGE,NJ,11.93,39.0,44707.109980584806,0.0,0.0,Fully Paid,1,0.1755458311872884
25000,5,D,15.99,home_improvement,90000.0,10+ years,Verified,OWN,TX,8.21,19.0,11065.12999999999,2273.77,331.1537,Charged Off,0,-0.6581514762511125
2100,3,D,15.99,debt_consolidation,9600.0,4 years,Not Verified,RENT,CA,14.25,5.0,2651.7202622401,0.0,0.0,Fully Paid,1,0.22523047794914985
16000,3,B,10.59,other,45000.0,10+ years,Verified,RENT,NY,2.45,11.0,18004.601005488606,0.0,0.0,Fully Paid,1,0.13475564691245911
3000,3,B,11.49,debt_consolidation,52000.0,8 years,Source Verified,RENT,FL,21.27,20.0,3560.8529526145007,0.0,0.0,Fully Paid,1,0.16800056098060923
1500,3,B,10.99,debt_consolidation,34942.0,7 years,Source Verified,RENT,NY,15.59,28.0,1744.1386584495,0.0,0.0,Fully Paid,1,0.16180240010704638
6400,3,D,15.99,debt_consolidation,75000.0,5 years,Verified,RENT,TX,14.08,26.0,8098.978345978499,0.0,0.0,Fully Paid,1,0.2252304779491563
1450,3,A,8.49,car,45600.0,3 years,Not Verified,MORTGAGE,TX,16.05,18.0,1647.2447987287,0.0,0.0,Fully Paid,1,0.131281910097931
10000,3,C,14.79,debt_consolidation,70000.0,5 years,Source Verified,MORTGAGE,CA,16.87,10.0,12442.4906670859,0.0,0.0,Fully Paid,1,0.20971137321341482
26000,5,C,12.99,debt_consolidation,85000.0,3 years,Verified,RENT,CA,17.96,29.0,35014.1900225311,0.0,0.0,Fully Paid,1,0.21001933232682135
12000,3,B,10.59,house,40000.0,10+ years,Not Verified,RENT,CA,0.72,15.0,12825.7993825305,0.0,0.0,Fully Paid,1,0.08679815018762338
12000,5,C,13.49,debt_consolidation,59000.0,10+ years,Not Verified,RENT,FL,14.05,16.0,13393.7394287867,0.0,0.0,Fully Paid,1,0.11227143410787077
20500,5,F,20.99,debt_consolidation,62000.0,2 years,Verified,RENT,NY,15.24,17.0,21913.574870123703,0.0,0.0,Fully Paid,1,0.09075466921465725
6000,3,B,9.99,house,67000.0,3 years,Source Verified,RENT,NY,4.76,39.0,6237.6928447575,0.0,0.0,Fully Paid,1,0.07952722086275799
10000,3,A,5.42,debt_consolidation,33000.0,1 year,Not Verified,RENT,TX,20.07,23.0,10743.1692408149,0.0,0.0,Fully Paid,1,0.09485374375199296
14400,3,A,7.49,debt_consolidation,57000.0,10+ years,Source Verified,RENT,CA,18.69,14.0,14542.9123549037,0.0,0.0,Fully Paid,1,0.0497149951626672
3600,5,D,16.89,other,9600.0,< 1 year,Source Verified,OWN,FL,0.0,9.0,4231.557459314,0.0,0.0,Fully Paid,1,0.14746740655794088
12250,3,B,10.59,debt_consolidation,28800.0,1 year,Not Verified,RENT,NJ,19.96,13.0,14352.2690839411,0.0,0.0,Fully Paid,1,0.1568666036421551
6000,3,C,12.99,debt_consolidation,24000.0,10+ years,Not Verified,RENT,NJ,15.2,12.0,7276.8131623742,0.0,0.0,Fully Paid,1,0.18678599139809027
6000,3,C,15.23,car,54902.0,10+ years,Verified,MORTGAGE,CA,23.08,49.0,1878.03,8.73,0.0,Charged Off,0,-0.9471331787277987
5000,3,C,12.99,credit_card,105000.0,< 1 year,Verified,OWN,FL,13.2,23.0,6046.1716524989015,0.0,0.0,Fully Paid,1,0.18678599139809648
3000,3,B,11.99,debt_consolidation,48000.0,7 years,Not Verified,MORTGAGE,TX,12.28,16.0,3387.42,0.93,0.0,Charged Off,0,0.12884764694594275
16000,5,B,10.59,small_business,43000.0,< 1 year,Source Verified,RENT,CA,0.42,10.0,16141.230625,0.0,0.0,Fully Paid,1,0.04934187940748069
5000,3,A,7.49,credit_card,28800.0,< 1 year,Source Verified,MORTGAGE,FL,14.63,15.0,5572.3039447198,0.0,0.0,Fully Paid,1,0.11929030516417383
5600,3,A,5.42,debt_consolidation,115000.0,4 years,Not Verified,MORTGAGE,IL,0.96,21.0,6080.207268347203,0.0,0.0,Fully Paid,1,0.09485374375198719
12000,5,C,12.99,home_improvement,50000.0,3 years,Source Verified,OWN,FL,3.17,14.0,15857.1693522254,0.0,0.0,Fully Paid,1,0.2021175170002707
4000,3,B,11.49,home_improvement,21000.0,5 years,Not Verified,RENT,CA,6.4,5.0,4586.456987646599,0.0,0.0,Fully Paid,1,0.1458498138731832
2200,3,A,7.49,car,22000.0,10+ years,Verified,RENT,CA,2.4,10.0,2530.4055840316,0.0,0.0,Fully Paid,1,0.14014643320672482
9000,3,D,16.49,debt_consolidation,55000.0,4 years,Source Verified,OWN,CA,12.41,16.0,9808.191202985,0.0,0.0,Fully Paid,1,0.10631722987343939
5000,5,F,20.25,other,110004.0,4 years,Not Verified,RENT,FL,5.5,14.0,7677.6,0.0,0.0,Fully Paid,1,0.29579936409074614
2500,3,A,6.99,other,220000.0,< 1 year,Source Verified,MORTGAGE,FL,3.13,18.0,2762.6452964888,0.0,0.0,Fully Paid,1,0.11334030254155136
15000,3,C,13.49,debt_consolidation,65000.0,4 years,Verified,RENT,CA,24.3,26.0,17213.9022491983,0.0,0.0,Fully Paid,1,0.14739350430381526
4000,3,C,12.99,debt_consolidation,24000.0,4 years,Not Verified,OWN,CA,7.85,8.0,3324.749999999998,95.31,0.8675,Charged Off,0,-0.15613207390572326
3000,3,A,5.99,car,65500.0,10+ years,Not Verified,MORTGAGE,IL,22.55,34.0,3285.054007690401,0.0,0.0,Fully Paid,1,0.10153114032864052
16000,5,B,11.49,other,56004.0,3 years,Not Verified,MORTGAGE,CA,14.46,32.0,17031.8297533219,0.0,0.0,Fully Paid,1,0.0854234268088756
15500,5,C,13.99,major_purchase,35000.0,< 1 year,Verified,RENT,CA,22.66,19.0,10804.03,1429.62,14.2894999951,Charged Off,0,-0.2424828060117702
18600,3,A,6.99,debt_consolidation,82305.0,10+ years,Verified,MORTGAGE,CA,7.19,28.0,20284.1387753859,0.0,0.0,Fully Paid,1,0.11334030254156024
13600,5,G,22.48,debt_consolidation,40000.0,4 years,Verified,OWN,TX,14.28,12.0,5238.7,705.7,6.58,Charged Off,0,-0.8032235908987906
